date,compound_score,positive_score,neutral_score,negative_score
2019-06-29,-0.0077,0.0396,0.8902,0.0702
2019-06-30,-0.13816,0.0594,0.8018,0.1388
2019-07-01,0.23546,0.22,0.7442,0.0358
2019-07-02,-0.01418,0.0462,0.916,0.0378
2019-07-03,0.17574,0.1238,0.8278,0.0484
2019-07-04,-0.03444,0.0826,0.7394,0.1784
2019-07-05,-0.04838,0.1128,0.7008,0.1866
2019-07-06,-0.0843,0,0.9356,0.0644
2019-07-07,-0.00234,0.021,0.9472,0.0316
2019-07-08,0.23902,0.201,0.728,0.071
2019-07-09,-0.15084,0.114,0.6642,0.2218
2019-07-10,0.09878,0.0422,0.9578,0
2019-07-11,0.13832,0.087,0.877,0.036
2019-07-12,0.10424,0.1308,0.7732,0.0958
2019-07-13,0.07604,0.1574,0.7396,0.103
2019-07-14,-0.11438,0,0.9528,0.0472
2019-07-15,0.1895,0.1954,0.681,0.1234
2019-07-16,0.09512,0.1254,0.7714,0.103
2019-07-17,0.04832,0.0888,0.8474,0.0636
2019-07-18,0.08294,0.1362,0.7838,0.08
2019-07-19,-0.13694,0.1224,0.6278,0.2496
2019-07-20,-0.00486,0.0936,0.7844,0.122
2019-07-21,-0.20386,0.038,0.8362,0.1258
2019-07-22,0.17748,0.1032,0.8502,0.0468
2019-07-23,-0.02054,0.0318,0.9304,0.0376
2019-07-24,0.38552,0.1764,0.8236,0
2019-07-25,0.01388,0.0846,0.8504,0.065
2019-07-26,0.21066,0.1806,0.7746,0.0448
2019-07-27,0.09034,0.1762,0.665,0.1586
2019-07-28,0.19172,0.1138,0.8634,0.0228
2019-07-29,-0.22162,0.081,0.7246,0.1944
2019-07-30,-0.4455,0,0.6272,0.3728
2019-07-31,0.33932,0.2418,0.7194,0.0388
2019-08-01,-0.268,0.0204,0.816,0.1636
2019-08-02,-0.1254,0.1256,0.6766,0.1978
2019-08-03,-0.24648,0.0772,0.691,0.232
2019-08-04,-0.32696,0.0182,0.792,0.1896
2019-08-05,0.32174,0.2488,0.6594,0.0918
2019-08-06,-0.42024,0.0724,0.6536,0.274
2019-08-07,0.01856,0.0462,0.9026,0.0512
2019-08-08,-0.034,0.1036,0.7812,0.1152
2019-08-09,0.18786,0.163,0.7566,0.0806
2019-08-10,0.05296,0.0806,0.8324,0.087
2019-08-11,0.11842,0.0606,0.9154,0.024
2019-08-12,-0.05696,0.1242,0.6914,0.1848
